social.michaelbrooks.co.uk,3,"No racism, anti-trans, homophobia or hate of any kind "
oliphant.social,2,"No racism, antisemitism, misogyny, queermisia, cissexism, xenomisia, ableism, ageism or other kinds of bigotry or ""othering"""
social.dextender.com,2,"No Racism, antisemitism, religious hate, homophobia, trans phobia, xenophobia.  Claustrophobia and acrophobia are permitted."
physchem.science,1,"No racism, antisemitism, sexism, homophobia, or transphobia."
thicc.horse,8,"No Racism, Bigotry, transphobia, body shaming, kink shaming.
This includes ""chasers"" and other forms of unwanted fetishization."
sociale.network,5,"No racism, fascism, nationalism, extremism, fundamentalism, bigotism, homophoby"
chatz.nl,3,"No racism, hate speech, etc."
stars.eroaward.com,10,"No racism, hate, violence or bullying."
the.voiceover.bar,2,"No racism, homophobia, biphobia, transphobia, misogyny, Islamophobia, anti-Semitism etc. "
mastodon.ameth.org,2,"No racism, homophobia, transphobia allowed"
gayweeb.vip,2,"No racism, homophobia, transphobia, biphobia, classism, sexism, ableism, or any other systematic discrimination is allowed on GWV."
gaybdsm.group,3,"No racism, homophobia, transphobia, hate speech, sexism, kink-shaming, or body-shaming. This is your only warning."
guitar.rodeo,1,"No racism, homophobia, transphobia, or misogyny."
straylight.expectnomore.net,1,"No racism, homophobia, transphobia, sexism, or bigotry of any kind. Automatic ban or instance block when this is obviously observed."
oslo.town,10,"No racism, homophobia, xenophobia, sexism, discrimination, nazis. 🛑"
social.curious.bio,4,"No racism, Islamomisia, sexism, ableism, anti-Semitism, homophobia, transphobia, xenophobia, or casteism."
kolektiva.social,1,"No racism, misogyny, homo/transphobia, ableism or other oppressive behaviour. "
social.learnlangs.com,2,"No racism, Nazism, sexism.
Racists, Nazis & similar will be removed from this server; they can join plenty of others."
wiggle.website,2,"no racism, no sexism, no homophobia, no transphobia...please be nice!!!"
rocketsnail.masto.host,4,"No Racism, Sex and Gender discrimination, Transphobia or Misogyny."
baudigital.social,2,"No racism, sexism / misogyny, ableism, anti-semitism / religious-based hate, homophobia, transphobia, or xenophobia."
hcommons.social,6,"No racism, sexism / misogyny, ableism, anti-semitism / religious-based hate, homophobia, transphobia, xenophobia, or casteism."
lincolnite.net,2,"No racism, sexism / misogyny, ableism, anti-semitism / religious-based hate, homophobia, transphobia, xenophobia, or casteism."
